Disease,Symptoms,Description,Prevention
Common Cold,"sneezing, runny nose, sore throat, cough, mild fever",The common cold is a viral infection of your nose and throat.,"Wash hands frequently, avoid close contact with sick people, and stay warm."
Flu,"high fever, chills, body aches, fatigue, dry cough",The flu is a contagious respiratory illness caused by influenza viruses.,"Get a flu shot annually, rest well, and stay hydrated."
COVID-19,"fever, dry cough, tiredness, loss of taste, difficulty breathing",COVID-19 is a contagious disease caused by the coronavirus SARS-CoV-2.,"Wear a mask, maintain social distance, and get vaccinated."
Migraine,"headache, nausea, sensitivity to light, blurred vision",Migraine is a neurological condition that causes severe headaches.,"Avoid triggers, maintain sleep hygiene, and manage stress."
Diabetes,"frequent urination, increased thirst, blurred vision, fatigue",A chronic condition that affects how your body processes blood sugar.,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Asthma,"shortness of breath, wheezing, coughing, chest tightness","Asthma is a condition in which your airways narrow and swell, producing extra mucus.","Avoid allergens, use prescribed inhalers, and monitor breathing regularly."
Hypertension,"high blood pressure, headache, dizziness, nosebleeds",Hypertension is a condition where the blood pressure in the arteries is persistently elevated.,"Reduce salt intake, exercise regularly, and manage stress."
Malaria,"fever, chills, sweating, headache, nausea","Malaria is a disease caused by a plasmodium parasite, transmitted by the bite of infected mosquitoes.","Use mosquito nets, take antimalarial medications, and avoid mosquito-prone areas."
Tuberculosis,"persistent cough, weight loss, fever, night sweats",Tuberculosis is a serious infectious disease that mainly affects the lungs.,"Get vaccinated (BCG), avoid exposure to infected individuals, and maintain good hygiene."
Dengue,"high fever, severe headache, joint pain, rash, bleeding gums",Dengue is a mosquito-borne viral disease occurring in tropical and subtropical areas.,"Prevent mosquito bites, eliminate standing water, and use mosquito repellents."
Acid Reflux,"heartburn, chest pain, regurgitation, sour taste in mouth","Acid reflux occurs when stomach acid flows back into the esophagus, causing irritation.","Avoid spicy food, eat smaller meals, don’t lie down immediately after eating."
Constipation,"infrequent stools, hard stool, abdominal pain, bloating","Constipation refers to difficulty in emptying the bowels, often associated with hardened feces.","Increase fiber intake, stay hydrated, and exercise regularly."
Dehydration,"dry mouth, dizziness, dark urine, fatigue",Dehydration happens when you lose more fluids than you take in.,"Drink plenty of fluids, especially in hot weather or during physical activity."
Food Poisoning,"nausea, vomiting, diarrhea, stomach cramps",Food poisoning is caused by consuming contaminated food or drinks.,"Practice safe food handling, cook food thoroughly, and store food properly."
Tooth Decay,"toothache, sensitivity, visible holes in teeth, pain while eating",Tooth decay is the destruction of your tooth enamel caused by bacteria and poor oral hygiene.,"Brush twice daily, floss regularly, avoid sugary food, and visit the dentist regularly."
